发布日期,省,市,区,物资需求机构,捐赠地址,公告标题,N95口罩,医用外科口罩,一次性医用口罩,防护服,一次性医用帽,护目镜,防冲击眼罩,防护面罩,医用一次性乳胶手套,一次性手术衣,84消毒液,医用酒精,联系人/联系方式,来源网址,来源网站,是否政府网站
2020-01-31,黑龙江省,大庆市,,黑龙江省应对新型冠状病毒感染肺炎疫情指挥部第4号公告,大庆市人民政府后楼南门1312室,大庆市红十字会抗击新型冠状病毒感染的肺炎疫情接受社会捐赠公告,1,,,1,,1,,1,,,,,0459-6367566,"=HYPERLINK(""http://www.dqdaily.com/2020-01/31/content_5802784.htm"")",大庆网_中国百强新闻网_省文明网站_大庆权威新闻门户网站,否
2020-01-31,辽宁省,营口市,西市区,西市区工商业联合会,营口市西市区平安路南20号422办公室,西市区接受社会捐赠肺炎疫情防控物资的公告,1,1,,1,,1,,,,,1,1,赵焕玲:15940775796  杜荣:15841729612  郑丽杰:15941771866  徐晓棠:13704972567,"=HYPERLINK(""http://www.ykxs.gov.cn/004/20200131/a1e18989-3c3f-42e5-8f77-b5c0e50462d8.html"")",营口市西市区政务信息网,是
2020-01-31,湖南省,湘西土家族苗族自治州,泸溪县,泸溪县红十字会,泸溪县红十字会办公室（泸溪县武溪镇白沙社区建设路,泸溪县红十字会接受新型冠状病毒感染性肺炎防治专项捐赠的通告,1,1,,1,1,1,,,,1,1,,刘国富:13974305590  戴会婷:13107435009,"=HYPERLINK(""http://www.lxx.gov.cn/zwgk/qzfxxgkml/tzgg/202001/t20200131_1570455.html"")",泸溪县人民政府,是
2020-01-31,湖南省,永州市,蓝山县,蓝山县红十字会,蓝山县红十字会,蓝山县红十字会防控新型冠状病毒感染的肺炎疫情接受社会捐赠公告,1,1,,1,1,,,1,,1,1,,贺小君:13574679021  黄卓松:13974673871  谭程仁:13874749222,"=HYPERLINK(""http://www.lsxw.gov.cn/Info.aspx?ModelId=1&Id=85230"")","蓝山新闻网-红网蓝山站(中共蓝山县委、蓝山县人民政府主办,中共蓝山县委宣传部承办)",是
2020-01-31,湖北省,咸宁市,崇阳县,崇阳县新型冠状病毒感染的肺炎防控指挥部,崇阳县新型冠状病毒感染的肺炎防控指挥部,崇阳县政府-崇阳县新型冠状病毒感染的肺炎防控指挥部接受社会爱心捐赠通告,1,1,,1,1,1,,1,,,1,1,王仁霞:13972823376  朱成建:13451106081,"=HYPERLINK(""http://www.chongyang.gov.cn/xwzx/zwyw/202001/t20200131_1923869.shtml"")",崇阳县政府,是
2020-01-31,浙江省,绍兴市,,如果医院用不着的资源可否让市民用,如果医院用不着的资源可否让市民用,绍兴市人民医院接受社会捐赠公告,1,1,,1,,,1,1,,,,,0575-8508552、0575-8800434、0575-8822886,"=HYPERLINK(""https://www.e0575.cn/read.php?tid=11379833"")",绍兴e网 e0575.cn - 绍兴地方门户网站 - 绍兴人气社区,否
2020-01-31,浙江省,绍兴市,,绍兴文理学院附属医院,绍兴文理学院附属医院,请转发！绍兴文理学院附属医院接受社会捐赠公告,1,1,,1,,,1,1,,,,,0575-8508552、0575-8800434、0575-8829310,"=HYPERLINK(""http://www.shaoxing.com.cn/p/2787189.html"")",绍兴网,否
2020-01-31,浙江省,绍兴市,,绍兴市人民医院,绍兴市人民医院,请转发！绍兴市人民医院接受社会捐赠公告,1,1,,1,,,1,1,,,,,0575-8508552、0575-8800434、0575-8822886,"=HYPERLINK(""http://www.shaoxing.com.cn/p/2787173.html"")",绍兴网,否
2020-01-31,浙江省,宁波市,象山县,防控工作领导小组办公室,象山县丹西街道茂林路19号,象山县关于防控新型冠状病毒感染的肺炎疫情接受社会捐赠的公告,1,,,1,1,1,,1,1,,,,楼捐赠:13805854690  师）:13805854690、18858000563,"=HYPERLINK(""http://www.xstv.net/6110221.html"")",中国象山港网-象山新闻门户网站,否
2020-01-31,河南省,,,河南省人民医院,河南省人民医院,河南省人民医院发布接受社会捐赠公告,1,1,,1,,,,1,,,,,赵德政:13837169390  王亚东:18860376897,"=HYPERLINK(""http://news.hnr.cn/202001/31/87520.html"")",新闻-映象网,否
